  1  2  3  4  5  6
  1  2  3  4  5  7
  1  2  3  4  5  8
  1  2  3  4  6  7
  1  2  3  4  6  8
  1  2  3  4  7  8
  1  2  3  5  6  7
  1  2  3  5  6  8
  1  2  3  5  7  8
  1  2  3  6  7  8
  1  2  4  5  6  7
  1  2  4  5  6  8
  1  2  4  5  7  8
  1  2  4  6  7  8
  1  2  5  6  7  8
  1  3  4  5  6  7
  1  3  4  5  6  8
  1  3  4  5  7  8
  1  3  4  6  7  8
  1  3  5  6  7  8
  1  4  5  6  7  8
  2  3  4  5  6  7
  2  3  4  5  6  8
  2  3  4  5  7  8
  2  3  4  6  7  8
  2  3  5  6  7  8
  2  4  5  6  7  8
  3  4  5  6  7  8
