  1  2  3  4  5  6  7  8  9 10 11 12 13 14
  1  2  3  4  5  6  7  8  9 10 11 12 13 15
  1  2  3  4  5  6  7  8  9 10 11 12 14 15
  1  2  3  4  5  6  7  8  9 10 11 13 14 15
  1  2  3  4  5  6  7  8  9 10 12 13 14 15
  1  2  3  4  5  6  7  8  9 11 12 13 14 15
  1  2  3  4  5  6  7  8 10 11 12 13 14 15
  1  2  3  4  5  6  7  9 10 11 12 13 14 15
  1  2  3  4  5  6  8  9 10 11 12 13 14 15
  1  2  3  4  5  7  8  9 10 11 12 13 14 15
  1  2  3  4  6  7  8  9 10 11 12 13 14 15
  1  2  3  5  6  7  8  9 10 11 12 13 14 15
  1  2  4  5  6  7  8  9 10 11 12 13 14 15
  1  3  4  5  6  7  8  9 10 11 12 13 14 15
  2  3  4  5  6  7  8  9 10 11 12 13 14 15
